Title                                                                      Language                      Publish Year   Ebook Access             Author
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Python Cookbook                                                            eng                           2002           borrowable               Alex Martelli,David Ascher,David M. Beazley,Brian K. Jones
Fluent Python                                                              eng                           2015           borrowable               Luciano Ramalho
Core Python Programming                                                    hin,eng                       2016           no_ebook                 R. Nageswara Rao
Black Hat Python                                                           eng,pol                       2014           borrowable               Justin Seitz,Tim Arnold
Think Python                                                               eng                           2009           public                   Allen B. Downey,Allen Downey
Python                                                                     eng                           2017           no_ebook                 Joshua Welsh
Python For Data Analysis                                                   eng                           2012           unclassified             Wes McKinney
Automate the Boring Stuff with Python                                      eng,chi                       2015           public                   Al Sweigart
Python Crash Course, 3rd Edition                                           eng                           2022           no_ebook                 Eric Matthes
Introduction to Machine Learning with Python                               eng                           2016           printdisabled            Andreas C. Mueller,Sarah Guido
Data science from scratch                                                  eng                           2015           borrowable               Joel Grus
Core Python programming                                                    eng                           2006           printdisabled            Wesley Chun
Python Crash Course, 2nd Edition                                           eng                           2019           no_ebook                 Eric Matthes
Python crash course                                                        eng                           2015           printdisabled            Eric Matthes
The Hidden Oracle                                                          pol,spa,tur,eng,cat,por,ger   2016           printdisabled            Rick Riordan
Python                                                                     eng                           2001           no_ebook                 Martin C. Brown
Python Data Science Handbook                                               eng                           2016           borrowable               Jake VanderPlas
Practical Statistics for Data Scientists: 50 Essential Concepts            eng                           2017           borrowable               Peter Bruce,Andrew Bruce,Peter Gedeck
Python Playground                                                          eng                           2015           printdisabled            Mahesh Venkitachalam
The Burning Maze                                                           eng,spa,cat,pol,tur,por       2018           printdisabled            Rick Riordan
My Favorite Animal                                                         eng                           2014           no_ebook                 Victoria Marcos
Python Basics                                                              eng                           2021           no_ebook                 David Amos,Dan Bader,Joanna Jablonski,Fletcher Heisler
Data Science                                                               eng                           2022           no_ebook                 Tiffany-Anne Timbers,Trevor Campbell,Melissa Lee
Python                                                                     eng                           2016           borrowable               Byron Francis
Head First Python                                                          ger,chi,eng                   2010           borrowable               Paul Barry
Beginning Python                                                           eng                           2010           unclassified             James R. Payne
Python Distilled                                                           eng                           2021           no_ebook                 David M. Beazley
Python Programming                                                         eng                           2019           no_ebook                 Reema Thareja
Django for Beginners                                                       eng                           2018           no_ebook                 William S. Vincent
Python for Everybody                                                       eng                           2016           printdisabled            Dr. Charles Russell Severance
Effective Python                                                           eng                           2015           no_ebook                 Brett Slatkin
Pythons' Autobiography by the Pythons                                      eng,und                       2003           borrowable               Monty Python,Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,et al,Bob McCabe
Python for dummies                                                         eng                           2006           printdisabled            Stef Maruch,Aahz Maruch
Python                                                                     eng                           2018           no_ebook                 Martin Evans
Python Basics                                                              eng                           2019           public                   
Garden Planting Weekly                                                     eng                           2022           no_ebook                 Yoshiko TOLBERT
Starting out with Python                                                   eng                           2008           printdisabled            Tony Gaddis
Deep Learning with Python                                                  eng                           2017           no_ebook                 Francois Chollet
Data Structures and Algorithms in Python                                   eng                           2012           no_ebook                 Michael T. Goodrich,Roberto Tamassia,Michael H Goldwasser
Python in a Nutshell                                                       eng                           2002           borrowable               Alex Martelli,Anna Ravenscroft,Steve Holden
PYTHON Exercises                                                           eng                           2021           no_ebook                 Ray Yao
Python programming                                                         eng                           2003           borrowable               John M. Zelle
Let Us Python                                                              eng                           2019           no_ebook                 Yashavant Kanetkar
Python for Kids                                                            eng                           2012           borrowable               Jason R. Briggs
Python machine learning                                                    eng                           2015           printdisabled            Sebastian Raschka
Python                                                                     eng                           2021           no_ebook                 Andy Vickler
Python for Geeks                                                           eng                           2021           no_ebook                 Muhammad Asif
Intro to Python                                                            eng                           2020           no_ebook                 Programming For Scientists
Python Programming Crash Course                                            eng                           2022           no_ebook                 Alex Jaxson
Python Programming                                                                                       2019           no_ebook                 Sarah Stewart
